web_scraper_order,web_scraper_start_url,titre,prix,kilometrage,boite_vitesses,region,lien
"1786742614-1","https://www.gaaraas.com/fr/users/dakar-auto?page=13","2008 Dacia Logan","CFA 2 600 000","137 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-dacia-logan-dakar-dakar-878"
"1786742614-2","https://www.gaaraas.com/fr/users/dakar-auto?page=13","2007 Peugeot 307","CFA 2 100 000","175 598 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-1748"
"1786742614-3","https://www.gaaraas.com/fr/users/dakar-auto?page=13","2006 Toyota RAV4","CFA 3 500 000","140 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-toyota-rav4-dakar-dakar-2896"
"1786742614-4","https://www.gaaraas.com/fr/users/dakar-auto?page=13","2007 Fiat Stilo","CFA 2 700 000","160 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-fiat-stilo-dakar-dakar-2508"
"1786742614-5","https://www.gaaraas.com/fr/users/dakar-auto?page=13","2007 Audi S3","CFA 2 000 000","120 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-audi-s3-dakar-dakar-4137"
"1786742618-6","https://www.gaaraas.com/fr/users/dakar-auto?page=12","2000 Peugeot 205","CFA 1 400 000","160 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-peugeot-205-dakar-dakar-1934"
"1786742618-7","https://www.gaaraas.com/fr/users/dakar-auto?page=12","2005 Peugeot 307","CFA 2 100 000","160 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-peugeot-307-dakar-dakar-2915"
"1786742618-8","https://www.gaaraas.com/fr/users/dakar-auto?page=12","2013 Jeep Wrangler","CFA 20 000 000","100 000 km","Automatique","Dakar","/fr/vehicle_listings/annonce-jeep-wrangler-dakar-dakar-2454"
"1786742618-9","https://www.gaaraas.com/fr/users/dakar-auto?page=12","2004 Peugeot 406","CFA 2 700 000","120 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-peugeot-406-dakar-dakar-1119"
"1786742618-10","https://www.gaaraas.com/fr/users/dakar-auto?page=12","1989 Renault 19","CFA 1 500 000","140 000 km","Manuelle","Dakar","/fr/vehicle_listings/annonce-renault-19-dakar-dakar-3449"
